|V|	|E|	time	approx	optimal
10	28	0.03	2976	2900
10	20	0.022	3934	2608
10	15	0.025	2253	1825
10	23	0.029	2726	2676
10	26	0.027	3613	3526
10	23	0.021	4307	3198
10	20	0.03	2438	2124
10	22	0.028	4037	3209
10	19	0.025	5915	4310
10	23	0.019	4149	3237
10	23	0.027	3696	2377
10	16	0.026	4720	3287
10	21	0.026	2887	2465
10	23	0.034	3352	2226
10	18	0.04	4464	2920
10	23	0.033	2952	1760
10	21	0.029	2137	1901
10	21	0.035	3452	2459
10	19	0.048	4651	3366
10	22	0.031	3745	2478
10	20	0.039	2608	2180
10	21	0.035	3051	2790
10	19	0.034	2779	2201
10	24	0.028	2229	2221
10	17	0.034	4944	3564
10	19	0.033	6622	3940
10	20	0.035	2974	2633
10	26	0.03	3742	2820
10	17	0.026	3359	2391
10	27	0.031	4645	3827
10	22	0.027	3834	3834
10	24	0.028	4347	3172
10	20	0.025	4211	2959
10	24	0.028	3490	2507
10	18	0.025	2759	2242
10	25	0.025	4932	3181
10	21	0.025	3682	2466
10	25	0.03	5082	3625
10	17	0.032	3872	2626
10	19	0.032	4151	3129
10	17	0.045	1425	1283
10	21	0.025	3261	3245
10	24	0.027	4482	3115
10	21	0.022	4442	3238
10	24	0.027	4138	3259
10	25	0.038	4751	2526
10	15	0.039	1567	1474
10	24	0.035	3841	2985
10	27	0.036	3493	3004
10	21	0.021	2012	1696
10	21	0.024	3777	2904
10	23	0.037	5272	3102
10	16	0.025	4303	2892
10	19	0.02	4392	3081
10	22	0.032	2763	2398
10	18	0.031	2848	2408
10	16	0.026	5224	3603
10	24	0.03	3839	2711
10	21	0.032	1643	1454
10	21	0.029	2555	1991
10	18	0.025	3232	2818
10	22	0.036	4991	2710
10	33	0.027	2987	2666
10	22	0.028	4667	3071
10	19	0.024	3171	2474
10	23	0.03	4173	2891
10	23	0.025	2742	2452
10	20	0.025	2534	2534
10	22	0.031	3605	3442
10	23	0.046	5532	3418
10	22	0.027	4686	3002
10	26	0.02	3401	2530
10	25	0.028	4403	3391
10	21	0.027	4257	2995
10	27	0.049	3114	2564
10	20	0.029	4705	2957
10	26	0.028	1995	1523
10	20	0.023	3610	3133
10	22	0.031	2283	1630
10	20	0.024	4477	3023
10	22	0.026	3321	2836
10	19	0.024	2525	2525
10	22	0.036	4625	2549
10	19	0.031	1894	1853
10	22	0.105	3435	1910
10	24	0.027	4596	3709
10	22	0.051	2529	2413
10	22	0.028	3561	2756
10	26	0.03	3341	2961
10	22	0.029	4150	3107
10	19	0.024	3577	2561
10	24	0.045	4332	3383
10	28	0.027	3326	3033
10	26	0.027	4776	3027
10	23	0.025	3907	3131
10	29	0.03	3057	2526
10	20	0.027	4044	2511
10	22	0.028	3544	2766
10	29	0.038	3474	3029
10	28	0.049	3868	3629
10	22	0.036	2684	1675
10	19	0.022	3027	2989
10	21	0.027	2704	2332
10	25	0.023	3754	2483
10	24	0.027	2963	2459
10	17	0.05	2914	1999
10	24	0.025	3902	2808
10	19	0.032	4382	2754
10	22	0.031	2867	2002
10	26	0.027	4403	3470
10	20	0.033	2313	1503
10	21	0.023	1314	1314
10	23	0.065	4278	4143
10	25	0.027	3035	2847
10	24	0.027	3744	3368
10	20	0.027	4995	2967
10	25	0.04	3733	3620
10	24	0.024	3663	2931
10	26	0.027	1885	1885
10	26	0.021	3607	2402
10	27	0.025	1237	1237
10	29	0.031	6560	4983
10	23	0.028	2850	2667
10	22	0.029	3420	3064
10	21	0.019	4074	2408
10	17	0.019	5183	3081
10	20	0.032	3164	2868
10	20	0.025	3074	2291
10	24	0.02	3220	2283
10	23	0.02	2157	2131
10	21	0.026	4939	3475
10	24	0.026	2842	2329
10	22	0.032	5476	3536
10	14	0.028	2663	1798
10	24	0.029	4665	2855
10	14	0.017	801	780
10	22	0.021	2569	2569
10	15	0.043	2405	1497
10	18	0.021	2634	2366
10	22	0.023	2772	2580
10	21	0.026	3809	2025
10	20	0.027	3423	2453
10	24	0.034	2471	1876
10	22	0.027	2939	1910
10	28	0.027	3397	2945
10	25	0.028	3800	2939
10	24	0.025	4324	3193
10	27	0.027	1722	1722
10	26	0.028	3147	2334
10	23	0.02	3784	3358
10	22	0.041	3110	2577
10	20	0.024	3371	3285
10	26	0.037	2816	2816
10	29	0.03	4573	3599
10	18	0.032	4741	3307
10	23	0.049	4197	3410
10	23	0.031	5157	3426
10	22	0.074	4572	3080
10	21	0.03	1697	1483
10	21	0.025	4808	3869
10	28	0.036	2109	1960
10	20	0.031	3649	2374
10	15	0.018	1950	1931
10	28	0.043	2090	1888
10	22	0.025	2227	1873
10	21	0.024	4238	3155
10	24	0.027	1927	1927
10	20	0.023	1828	1828
10	26	0.036	4089	2672
10	16	0.03	2252	1566
10	25	0.026	2804	2191
10	25	0.029	3520	2711
10	21	0.035	3525	2850
10	22	0.031	5186	3920
10	23	0.042	3320	2198
10	28	0.023	3051	2508
10	18	0.03	3545	2361
10	16	0.017	3282	1797
10	24	0.024	4201	2916
10	26	0.028	2372	1723
10	23	0.022	3750	2823
10	18	0.03	1940	1625
10	25	0.035	5816	4042
10	23	0.02	2698	1702
10	26	0.029	3792	2950
10	28	0.04	1239	1239
10	18	0.026	3141	2770
10	23	0.026	2458	2458
10	21	0.019	3103	3103
10	30	0.029	4022	3481
10	23	0.021	4939	3579
10	22	0.025	2725	2564
10	23	0.048	2632	1984
10	23	0.031	3286	2684
10	25	0.031	5936	4060
10	24	0.023	5077	2853
10	20	0.025	4362	3489
10	21	0.029	2119	1746
10	26	0.03	4183	2642
10	23	0.03	3307	2645
10	21	0.052	1985	1836
10	26	0.036	3967	3248
10	20	0.026	2776	1460
10	23	0.029	2744	2317
10	24	0.028	3843	1932
10	22	0.021	4298	3303
10	29	0.022	4257	3470
10	21	0.044	3845	3013
10	20	0.02	3679	2532
10	23	0.047	2384	1568
10	19	0.019	2907	2406
10	20	0.038	3354	2787
10	19	0.021	4358	2473
