|V|	|E|	time	approx	optimal
7	12	0.016	2171	0.732	1954
7	10	0.016	2875	0.497	1535
7	11	0.012	3091	0.474	2194
7	15	0.012	2346	0.602	2346
7	10	0.01	2544	0.422	1866
7	5	0.006	2148	0.261	1949
7	6	0.007	2480	0.307	1394
7	12	0.008	1765	0.491	1765
7	8	0.007	1578	0.359	1578
7	9	0.008	2711	0.404	2106
7	11	0.01	2649	0.518	1584
7	12	0.019	2054	0.575	1631
7	12	0.012	1505	0.555	1505
7	10	0.01	554	0.428	554
7	8	0.008	1940	0.375	1447
7	16	0.011	2943	0.626	2076
7	12	0.009	1207	0.497	1207
7	9	0.008	2806	0.403	2542
7	12	0.009	3523	0.496	2899
7	10	0.008	1814	0.471	1171
7	7	0.01	1430	0.346	1149
7	11	0.01	2012	0.461	1617
7	12	0.01	2231	0.494	1537
7	10	0.009	3247	0.438	1657
7	11	0.009	2541	0.458	1492
7	7	0.009	820	0.374	820
7	13	0.013	1487	0.535	1163
7	9	0.008	2118	0.399	1871
7	14	0.011	2318	0.568	1386
7	11	0.01	4032	0.475	2752
7	9	0.008	1551	0.405	1551
7	12	0.018	1308	0.531	1225
7	11	0.011	912	0.465	912
7	15	0.01	1701	0.588	1039
7	4	0.006	1223	0.222	720
7	11	0.01	2501	0.471	1508
7	15	0.011	3023	0.61	2422
7	10	0.01	2880	0.44	1971
7	13	0.009	2763	0.519	2517
7	12	0.01	2021	0.498	1257
7	6	0.006	447	0.296	447
7	5	0.006	2255	0.267	1748
7	10	0.009	1733	0.428	1280
7	13	0.009	1959	0.528	1637
7	10	0.008	1122	0.459	986
7	12	0.011	1181	0.495	1145
7	10	0.008	1787	0.434	1787
7	11	0.01	1682	0.461	1383
7	7	0.007	1405	0.33	1405
7	13	0.009	2300	0.531	2002
7	14	0.011	2942	0.633	2245
7	10	0.01	1787	0.452	1564
7	9	0.021	653	0.41	653
7	12	0.01	2942	0.512	2243
7	10	0.01	595	0.452	595
7	15	0.013	3140	0.588	2314
7	7	0.007	2226	0.345	2153
7	12	0.012	2827	0.517	1661
7	9	0.01	1351	0.398	1135
7	8	0.007	1370	0.41	1132
7	8	0.01	913	0.375	667
7	8	0.008	1805	0.374	1272
7	8	0.008	1253	0.37	672
7	7	0.008	2769	0.331	2243
7	12	0.01	3119	0.502	2200
7	7	0.008	2020	0.332	1167
7	13	0.01	1420	0.537	1420
7	10	0.008	2541	0.444	1801
7	9	0.009	1493	0.419	809
7	9	0.01	1681	0.407	1536
7	13	0.011	2554	0.533	2554
7	14	0.011	3057	0.612	2288
7	8	0.01	2411	0.364	2411
7	12	0.01	2914	0.529	2434
7	13	0.013	3619	0.53	2656
7	7	0.007	1849	0.331	1202
7	12	0.01	3938	0.519	3089
7	9	0.01	3030	0.402	1913
7	12	0.009	3333	0.53	2306
7	13	0.013	2651	0.527	1769
7	11	0.01	2963	0.465	1936
7	14	0.01	2751	0.556	1835
7	5	0.006	1324	0.261	1038
7	12	0.009	1112	0.5	1112
7	12	0.01	2165	0.518	1542
7	9	0.009	864	0.411	737
7	10	0.011	1905	0.472	1767
7	12	0.012	3046	0.5	2476
7	13	0.01	4333	0.531	2775
7	10	0.009	1498	0.433	1498
7	12	0.016	3224	0.573	2353
7	7	0.011	1467	0.349	1052
7	11	0.009	2309	0.468	1558
7	4	0.006	434	0.223	434
7	11	0.01	2379	0.472	1499
7	7	0.007	1252	0.336	1154
7	13	0.017	1834	0.562	1293
7	10	0.011	1140	0.441	1010
7	11	0.011	3125	0.47	1660
7	13	0.01	1781	0.518	1543
7	11	0.009	2973	0.495	2403
7	14	0.013	2567	0.558	1662
7	11	0.008	1674	0.46	1105
7	8	0.007	1423	0.367	1423
7	8	0.008	2128	0.37	1288
7	10	0.009	1820	0.436	1097
7	4	0.005	796	0.229	796
7	10	0.008	1517	0.438	1166
7	6	0.006	687	0.293	378
7	15	0.011	2471	0.601	2147
7	8	0.009	1917	0.373	1191
7	6	0.007	1650	0.358	1045
7	13	0.013	2071	0.528	2071
7	13	0.009	2440	0.537	1875
7	9	0.009	1207	0.406	1207
7	9	0.009	2035	0.402	1170
7	8	0.008	3053	0.37	1893
7	11	0.009	1713	0.473	1713
7	8	0.008	1804	0.371	1693
7	11	0.009	3323	0.472	2383
7	9	0.007	1725	0.4	976
7	6	0.007	1332	0.299	1328
7	11	0.009	3325	0.462	1789
7	9	0.009	1261	0.411	1057
7	16	0.013	1759	0.638	1208
7	9	0.01	1119	0.415	1119
7	11	0.011	1244	0.463	1244
7	8	0.007	1452	0.38	1015
7	12	0.011	2076	0.51	1604
7	12	0.011	1813	0.503	1749
7	10	0.009	1967	0.464	1967
7	9	0.014	1215	0.425	762
7	10	0.014	3103	0.451	1933
7	10	0.01	1322	0.442	907
7	11	0.01	2452	0.477	2389
7	9	0.01	1740	0.397	1728
7	12	0.01	3225	0.508	2532
7	8	0.008	1709	0.365	1478
7	11	0.009	1679	0.462	1157
7	13	0.01	1424	0.572	1424
7	11	0.011	1501	0.466	1468
7	13	0.011	3382	0.553	2173
7	11	0.012	3249	0.471	2696
7	8	0.008	1840	0.368	1064
7	11	0.009	1449	0.465	1380
7	13	0.009	2211	0.524	1586
7	6	0.009	1355	0.3	982
7	12	0.01	2533	0.498	2009
7	8	0.008	2123	0.369	1180
7	12	0.009	2071	0.563	1484
7	11	0.012	1682	0.464	1132
7	4	0.006	397	0.228	397
7	11	0.009	1074	0.506	1074
7	12	0.013	2850	0.495	2179
7	10	0.009	3227	0.425	1945
7	9	0.008	1752	0.402	1008
7	9	0.008	2263	0.395	1316
7	10	0.009	1643	0.443	1368
7	11	0.01	2523	0.464	2092
7	10	0.008	2121	0.436	1763
7	7	0.007	459	0.333	459
7	13	0.01	1736	0.534	1726
7	7	0.008	2163	0.34	1315
7	13	0.01	1773	0.526	1455
7	8	0.007	1805	0.366	1610
7	12	0.009	2428	0.516	2002
7	14	0.012	2995	0.568	2167
7	14	0.011	3342	0.557	2656
7	11	0.008	1983	0.512	1618
7	9	0.012	2862	0.404	1953
7	13	0.01	2727	0.532	2310
7	8	0.012	2560	0.42	1555
7	8	0.011	1738	0.378	994
7	12	0.009	3454	0.507	3002
7	8	0.007	1130	0.369	1130
7	13	0.009	3175	0.531	2095
7	11	0.009	1923	0.463	1473
7	10	0.008	2515	0.428	2515
7	9	0.007	1783	0.404	1645
7	10	0.008	2306	0.437	1635
7	11	0.008	1206	0.47	1206
7	10	0.009	1831	0.446	1349
7	12	0.011	2348	0.531	2210
7	7	0.01	1639	0.336	1639
7	10	0.009	2289	0.436	2081
7	9	0.008	2604	0.406	2112
7	14	0.013	1104	0.568	773
7	9	0.009	177	0.447	177
7	10	0.011	1522	0.453	1522
7	9	0.01	1476	0.417	1117
7	11	0.01	1140	0.468	1128
7	11	0.01	3104	0.466	1613
7	8	0.007	1497	0.364	957
7	10	0.008	1881	0.425	1881
7	5	0.006	2852	0.271	1644
7	8	0.009	2954	0.368	2452
7	11	0.017	2342	0.503	1506
7	7	0.01	980	0.343	539
7	9	0.01	2992	0.416	2012
7	9	0.009	1896	0.42	1272
7	10	0.011	2062	0.443	1483
7	11	0.016	2529	0.466	1456
7	11	0.01	1921	0.465	1602
7	15	0.011	2293	0.589	1533
7	9	0.008	3079	0.403	2622
7	11	0.008	1817	0.464	1817
7	8	0.007	1261	0.383	1261
7	13	0.011	3200	0.584	2397
7	9	0.015	2664	0.401	1992
7	12	0.01	2595	0.498	1768
7	11	0.008	557	0.458	464
7	5	0.006	1113	0.298	1113
7	7	0.009	416	0.362	416
7	8	0.009	1252	0.386	960
7	10	0.01	2166	0.433	1982
7	7	0.007	729	0.346	729
7	11	0.009	1032	0.467	1026
7	12	0.011	3477	0.498	2627
7	11	0.016	3222	0.474	2362
7	7	0.009	2330	0.326	1658
7	10	0.009	2906	0.432	1770
7	12	0.008	2246	0.49	2246
7	10	0.008	1016	0.441	1016
7	13	0.01	2924	0.542	2381
7	11	0.009	1429	0.504	957
7	12	0.013	2336	0.491	1291
7	12	0.01	2038	0.506	1040
7	9	0.007	2375	0.404	2086
7	11	0.009	2409	0.514	1708
7	9	0.011	1575	0.405	1575
7	11	0.009	3130	0.462	1883
7	12	0.009	1742	0.508	1742
7	12	0.01	986	0.502	602
7	9	0.008	1275	0.403	1275
7	7	0.008	2733	0.339	1520
7	9	0.008	1501	0.398	1030
7	7	0.008	1061	0.341	906
7	11	0.009	3793	0.471	2208
7	15	0.011	954	0.588	954
7	10	0.009	2002	0.439	1236
7	8	0.008	3351	0.373	2106
7	10	0.009	1351	0.434	1004
7	9	0.008	2427	0.399	1872
7	7	0.007	1026	0.33	1026
7	9	0.008	3252	0.405	2605
7	13	0.01	2496	0.531	1713
7	10	0.009	2691	0.438	1859
7	9	0.008	964	0.404	964
7	12	0.01	1776	0.544	1771
7	13	0.012	2547	0.526	2334
7	11	0.009	3100	0.473	2134
7	11	0.015	2223	0.527	1942
7	10	0.016	765	0.491	765
7	7	0.011	2890	0.358	1937
7	12	0.014	2268	0.514	1774
7	9	0.01	1560	0.444	1392
7	8	0.01	2705	0.373	1924
7	11	0.009	1927	0.465	1428
7	12	0.011	2894	0.494	1934
7	8	0.007	1420	0.369	1420
7	13	0.01	2467	0.526	2010
7	13	0.009	2578	0.528	2064
7	13	0.01	3584	0.544	2335
7	8	0.009	800	0.388	800
7	13	0.011	1901	0.561	1901
7	13	0.012	2325	0.527	1342
7	9	0.007	870	0.391	606
7	13	0.009	1773	0.578	1773
7	9	0.011	874	0.403	874
7	11	0.009	3117	0.464	2360
7	11	0.009	3155	0.493	1883
7	13	0.011	104	0.534	104
7	9	0.008	3331	0.402	2414
7	11	0.009	2200	0.467	1519
7	13	0.009	1062	0.53	752
7	10	0.008	818	0.428	818
7	16	0.012	2642	0.659	1824
7	7	0.01	2377	0.332	1884
7	12	0.01	3692	0.509	2884
7	9	0.01	2301	0.404	1455
7	12	0.009	2453	0.496	2006
7	10	0.018	951	0.453	951
