|V|	|E|	time	approx
100	2447	1.24	45159
100	2504	0.988	45766
100	2471	0.974	48554
100	2506	1.09	44941
100	2485	1.19	45883
100	2502	0.943	55010
100	2502	0.907	50940
100	2429	1.07	50220
100	2482	0.86	51350
100	2484	1.18	40928
100	2494	0.784	50893
100	2438	1.22	48286
100	2551	1.06	48774
100	2411	0.988	46856
100	2456	0.94	52082
100	2544	1	51134
100	2451	1.12	46017
100	2493	1.25	45652
100	2417	1.01	46588
100	2520	1.09	48984
100	2510	0.997	50057
100	2430	0.968	45969
100	2524	1.09	45495
100	2504	1.15	44943
100	2477	0.939	55693
100	2515	1.19	46184
100	2502	1.02	46684
100	2454	0.863	49846
100	2563	1.18	51011
100	2446	0.921	48380
100	2378	0.829	46547
100	2518	1.26	47606
100	2379	0.812	53326
100	2456	1.21	48619
100	2509	0.986	46091
100	2441	0.859	48348
100	2462	0.944	47834
100	2469	0.93	48198
100	2452	0.785	48908
100	2483	1.07	50104
100	2480	0.945	52095
100	2477	0.859	50691
100	2535	0.946	43386
100	2446	1.21	43240
100	2454	1.04	48927
100	2481	1.11	51814
100	2454	0.906	49984
100	2426	0.871	49153
100	2435	1.16	48009
100	2404	1.05	49409
100	2447	1.15	50593
100	2470	0.917	47086
100	2490	1.19	51024
100	2490	1.16	42576
100	2484	1.04	48405
100	2522	1.19	49796
100	2498	1.06	50930
100	2465	1.21	49429
100	2486	1.29	42427
100	2455	1.21	42587
100	2481	1.22	46350
100	2452	1.06	49875
100	2444	1.04	43495
100	2424	1.17	49249
100	2453	1.17	49030
100	2407	1.13	46930
100	2517	1.35	48672
100	2450	1.24	47634
100	2429	1.14	45386
100	2518	1.17	49854
100	2468	1.07	47161
100	2518	1.24	47148
100	2427	1.19	53087
100	2442	1.22	50759
100	2500	1.09	47178
100	2437	1.12	44885
100	2488	1.13	47101
100	2483	1.01	46538
100	2508	0.941	52149
100	2421	0.82	49609
100	2415	0.999	48264
100	2478	1.16	48291
100	2410	0.966	49232
100	2501	1.36	50174
100	2466	0.927	51962
100	2464	0.969	51168
100	2482	1.23	46428
100	2496	1.26	48749
100	2509	1.12	48808
100	2465	0.991	45488
100	2493	1.24	46378
100	2448	1.23	46410
100	2443	1.09	48190
100	2480	0.909	45089
100	2519	0.883	46583
100	2539	0.984	49701
100	2476	0.801	50153
100	2477	0.892	49751
100	2478	1.02	47280
100	2537	1.01	46064
100	2427	1.04	47842
100	2465	1.28	52091
100	2429	0.96	45219
100	2432	0.942	43009
100	2489	0.865	46544
100	2505	1.03	45523
100	2428	0.934	45435
100	2504	0.977	45289
100	2452	1.07	47044
100	2409	0.939	44138
100	2423	0.879	44961
100	2515	0.996	52241
100	2528	0.811	52489
100	2494	0.93	44551
100	2467	1.17	45621
100	2451	0.942	46823
100	2494	1.07	49047
100	2461	0.974	54301
100	2464	1.06	46931
100	2489	0.89	43454
100	2489	1.12	47090
100	2405	1.08	49065
100	2481	0.84	46253
100	2481	0.942	51206
100	2462	0.92	46005
100	2512	1.12	44104
100	2452	0.994	49446
100	2501	0.956	48993
100	2467	0.95	49601
100	2483	0.966	46663
100	2414	1.15	49460
100	2461	0.95	49703
100	2428	0.875	48062
100	2401	0.763	41270
100	2508	0.991	51030
100	2517	1.17	50311
100	2423	1	49562
100	2445	1.16	47138
100	2499	1.01	49862
100	2477	1	51384
100	2399	0.926	46050
100	2500	0.927	48909
100	2483	1.32	44804
100	2423	0.842	50503
100	2471	0.934	51818
100	2478	0.787	51664
100	2442	0.916	48145
100	2525	0.99	48352
100	2475	0.982	46673
100	2420	0.872	52625
100	2550	1.09	46928
100	2526	1.11	47124
100	2463	0.73	48572
100	2480	1.15	48972
100	2453	0.955	42920
100	2454	1.08	46503
100	2427	0.81	52224
100	2487	1.13	44887
100	2556	1.09	47684
100	2434	0.919	46705
100	2469	1.08	47202
100	2470	0.794	48152
100	2408	1.02	50924
100	2473	1.11	54645
100	2503	0.975	47288
100	2500	0.976	47238
100	2411	0.878	49773
100	2480	1.33	49698
100	2416	0.916	50085
100	2519	1.12	47222
100	2507	0.875	50018
100	2505	0.893	39674
100	2459	0.941	44891
100	2561	1.09	48516
100	2452	1.07	43581
100	2476	0.887	52088
100	2441	0.938	49131
100	2492	1.13	43257
100	2494	1.08	43835
100	2482	1.24	49151
100	2492	0.931	49356
100	2513	1.34	44252
100	2454	0.863	54259
100	2446	0.879	46943
100	2457	0.889	44223
100	2483	1.35	46052
100	2465	0.803	52666
100	2450	0.957	44376
100	2462	0.777	45559
100	2489	1.01	51565
100	2537	1.22	50821
100	2461	1.07	52698
100	2476	1.33	47490
100	2508	0.848	49073
100	2521	0.931	50544
100	2506	0.875	51192
100	2496	1.02	46642
100	2498	1.07	53025
100	2475	0.92	53352
100	2543	0.889	47450
100	2484	0.804	45803
100	2486	1.2	45247
100	2444	1.27	48015
100	2458	1.21	44490
100	2474	1.23	52222
100	2551	0.862	50102
100	2385	0.894	45549
100	2459	0.964	51599
100	2473	0.927	42488
100	2481	0.872	47781
100	2457	0.87	50828
100	2519	0.854	48556
100	2459	1.09	45564
100	2460	0.828	48720
100	2483	1.1	51644
100	2490	0.863	50666
100	2452	0.932	45689
100	2430	0.911	45582
100	2500	1.11	52509
100	2476	1.27	48508
100	2461	1.08	50505
100	2477	1.22	44978
100	2498	0.786	51256
100	2453	0.922	49846
100	2524	0.909	50004
100	2447	1.24	49325
100	2452	0.827	49168
100	2491	1.19	50498
100	2444	0.792	49156
100	2481	1.32	53316
100	2450	1.03	49367
100	2531	1.09	50560
100	2454	1.22	49466
100	2485	1.11	48782
100	2486	0.991	52615
100	2470	1.07	48642
100	2539	1.3	55709
100	2453	0.978	47211
100	2449	0.914	48017
100	2524	1.05	47837
100	2447	0.964	46410
100	2504	0.948	52103
100	2427	0.952	49467
100	2494	1.14	45053
100	2452	1.16	50682
100	2462	0.924	51402
100	2481	0.91	45423
100	2454	0.859	49775
100	2501	1.28	46244
100	2469	1.09	49199
100	2506	1.25	42695
100	2502	0.84	50425
100	2455	1.11	44195
100	2456	0.917	45483
100	2463	1.11	45511
100	2530	0.977	47195
100	2466	0.889	52127
100	2427	0.819	49107
100	2460	1.25	48272
100	2432	0.926	50359
100	2481	0.843	41127
100	2450	0.975	47572
100	2456	1.24	50181
100	2513	0.945	46988
100	2417	0.771	47954
100	2503	1.14	47795
100	2508	1.22	57298
100	2470	0.945	48750
100	2490	1.16	54206
100	2525	0.918	47071
100	2470	1.19	41066
100	2460	0.771	47869
100	2447	0.842	56148
100	2518	0.97	45704
100	2486	0.931	42051
100	2473	1.25	47844
100	2446	0.912	46499
100	2513	0.896	48354
100	2458	1.2	44217
100	2422	1.02	42887
100	2445	0.915	45266
100	2491	1.14	51369
100	2537	1.24	47018
100	2449	1.1	51101
100	2533	0.894	48700
100	2498	0.99	50598
100	2483	0.964	48965
100	2464	0.98	50174
100	2458	0.773	49693
100	2511	1.34	42937
100	2522	1.19	51251
100	2440	1.1	47271
100	2388	1.16	49122
100	2427	0.821	49854
100	2477	1.29	49559
100	2490	1.3	45701
100	2458	1	43334
100	2438	0.849	50921
100	2509	0.984	49903
100	2487	0.945	46684
100	2478	0.891	48456
