|V|	|E|	time	approx	optimal
7	9	0.004	2414	1780
7	12	0.004	3098	3054
7	10	0.004	2016	1577
7	11	0.004	2096	1789
7	10	0.004	1203	1154
7	7	0.004	1263	961
7	14	0.005	3576	2092
7	8	0.003	2342	2330
7	9	0.004	2886	1958
7	11	0.004	3031	1920
7	10	0.004	3433	2628
7	11	0.004	2835	2332
7	13	0.004	2214	1352
7	5	0.002	961	961
7	10	0.004	3076	2178
7	7	0.003	1456	1456
7	13	0.011	1996	1996
7	10	0.004	1648	1496
7	10	0.005	1744	929
7	8	0.007	4144	2221
7	9	0.006	518	518
7	8	0.008	1043	871
7	11	0.004	1484	1484
7	10	0.004	2300	2241
7	17	0.01	2697	2148
7	11	0.005	614	614
7	12	0.004	3171	2197
7	11	0.005	2467	1764
7	7	0.004	2359	1580
7	6	0.003	1679	1111
7	14	0.005	3163	2182
7	12	0.004	2107	1638
7	13	0.004	3019	2509
7	8	0.003	1771	1173
7	15	0.005	1488	1300
7	8	0.003	2728	2040
7	11	0.005	2457	1910
7	12	0.004	1519	1282
7	11	0.004	3459	2526
7	10	0.004	2026	1516
7	11	0.004	2672	2048
7	11	0.004	2519	1525
7	13	0.005	3546	1983
7	10	0.004	3155	2650
7	9	0.003	913	913
7	7	0.003	2033	1101
7	13	0.004	3735	2551
7	8	0.004	2426	2075
7	12	0.004	2334	2263
7	9	0.005	2419	2038
7	11	0.006	1402	1276
7	10	0.006	1433	1433
7	12	0.006	1857	1603
7	9	0.007	1316	1316
7	13	0.006	2325	2149
7	8	0.005	3019	2171
7	7	0.006	2666	1804
7	15	0.006	3380	2171
7	10	0.005	1452	1452
7	14	0.005	2345	2061
7	5	0.003	1320	968
7	13	0.005	2784	2201
7	11	0.004	2014	1182
7	11	0.004	2698	1952
7	8	0.003	584	584
7	14	0.005	2020	2020
7	9	0.004	3122	2290
7	15	0.005	1217	963
7	7	0.003	1273	1243
7	10	0.004	2171	1582
7	9	0.004	2111	1305
7	9	0.004	1205	970
7	5	0.003	1967	1481
7	10	0.004	2207	1468
7	11	0.004	3394	2482
